AFFX-BioB-5_at,AFFX-BioB-M_at,AFFX-BioB-3_at,AFFX-BioC-5_at,AFFX-BioC-3_at,AFFX-BioDn-5_at,AFFX-BioDn-3_at,AFFX-CreX-5_at,AFFX-CreX-3_at,AFFX-BioB-5_st,AFFX-BioB-M_st,AFFX-BioB-3_st,AFFX-BioC-5_st,AFFX-BioC-3_st,AFFX-BioDn-5_st,AFFX-BioDn-3_st,AFFX-CreX-5_st,AFFX-CreX-3_st,hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,Target
-214,-153,-58,88,-295,-558,199,-176,252,206,-41,-831,-653,-462,75,381,-118,-565,15091,7,311,-231,21,-107,165,-78,-204,29,-61,-105,-366,-41,-346,-297,-109,-13,215,797,14538,9738,8529,15076,11126,17782,16287,18727,15774,264,70,298,0
-139,-73,-1,283,-264,-400,-330,-168,101,74,19,-743,-239,-83,182,164,-141,-423,11038,37,134,-161,-21,-180,18,-120,-65,97,15,-49,-330,-41,-772,-259,-192,-219,116,433,615,115,1518,19448,13568,18112,17926,20668,16959,513,153,285,0
-76,-49,-307,309,-376,-650,33,-367,206,-215,19,-1135,-962,-232,208,432,84,-501,16692,183,378,-221,67,-203,238,-124,-161,36,-23,-80,-481,-65,-620,-269,-136,104,476,1474,5669,3272,3668,27410,16756,23006,22626,24672,18285,609,66,187,0
-135,-114,265,12,-419,-585,158,-253,49,31,363,-934,-577,-214,142,271,-107,-101,15763,45,268,-27,43,-52,247,-116,-208,22,-10,-74,-240,-33,-560,-261,-366,-148,155,415,4850,2293,2569,14920,11439,17633,15770,18773,14245,183,-54,260,0
-106,-125,-76,168,-230,-284,4,-122,70,252,155,-471,-490,-184,32,213,1,-260,18128,-28,118,-153,-8,-111,44,-88,-102,32,5,-18,-228,53,-348,-169,-156,-55,122,483,1284,2731,316,14653,15030,17384,16386,19091,18323,291,78,287,0
-138,-85,-114,130,-355,-543,103,-252,109,101,244,-623,-413,-209,24,241,-121,-359,14990,10,225,-149,33,-128,113,-36,-113,34,-2,8,22,22,2,-505,-201,-219,-60,431,2318,1336,1254,16944,12437,18528,17124,19561,16639,171,11,400,0
-114,-123,-13,191,-241,-320,12,-189,123,108,124,-639,-399,-113,113,252,-95,-387,13998,-16,213,-18,-37,-153,108,-110,-100,53,-22,-100,-256,15,-518,-243,-164,-101,151,385,1457,1185,1481,18439,13995,20004,18228,21199,16953,348,14,354,0
-112,-111,-36,252,-257,-390,105,-218,102,154,213,-686,-357,-135,108,217,-116,-431,15421,-14,242,-149,30,-147,159,-82,-121,39,-12,-52,-214,1,-445,-236,-212,-132,156,402,2393,1305,1166,16171,12338,18126,17183,19488,16223,415,109,423,0
-98,-118,-12,182,-268,-360,53,-203,84,103,161,-552,-401,-160,115,249,-101,-394,14476,-13,205,-124,26,-133,136,-91,-118,29,-25,-57,-206,-25,-489,-221,-139,-124,103,349,2799,1781,1513,17138,13389,19013,18039,20116,16867,288,43,332,0
-132,-103,-124,139,-313,-469,113,-241,122,129,220,-835,-427,-160,85,278,-111,-393,15923,19,209,-109,-18,-154,115,-71,-121,49,-13,-41,-207,28,-532,-252,-203,-117,163,391,2484,1551,1359,16508,12415,18321,17373,19339,16335,221,43,267,0
